#Position (bp)	Coverage
1048.5	25.87213740458015
3144.5	34.51288167938932
5240.5	29.260973282442748
7336.5	33.51288167938932
9432.5	29.331583969465647
11528.5	25.387404580152673
13624.5	29.87547709923664
15720.5	30.673664122137403
17816.5	32.23234732824427
19912.5	31.7418893129771
22008.5	30.258587786259543
24104.5	36.38263358778626
26200.5	29.858301526717558
28296.5	34.29961832061068
30392.5	33.13454198473283
32488.5	50.19370229007634
34584.5	31.943225190839694
36680.5	33.29818702290076
38776.5	58.33492366412214
40872.5	28.076812977099237
42968.5	34.76908396946565
45064.5	34.14074427480916
47160.5	34.66412213740458
49256.5	29.846374045801525
51352.5	33.79246183206107
53448.5	33.584446564885496
55544.5	30.831106870229007
57640.5	32.29484732824427
59736.5	29.5081106870229
61832.5	33.465648854961835
63928.5	33.81345419847328
66024.5	50.66889312977099
68120.5	47.75667938931298
70216.5	146.97519083969465
72312.5	55.44704198473283
74408.5	31.16030534351145
76504.5	31.515744274809162
78600.5	31.84017175572519
80696.5	28.829198473282442
82792.5	64.11879770992367
84888.5	30.526240458015266
86984.5	28.061545801526716
89080.5	36.75620229007634
91176.5	140.63072519083968
93272.5	42.55248091603053
95368.5	34.18225190839695
97464.5	32.25190839694657
99560.5	36.348759541984734
101656.5	28.578244274809162
103752.5	29.40601145038168
105848.5	32.6793893129771
107944.5	36.041984732824424
110040.5	37.23139312977099
112136.5	37.42891221374046
114232.5	27.08635496183206
116328.5	63.26097328244275
118424.5	36.087309160305345
120520.5	31.25286259541985
122616.5	29.140267175572518
124712.5	67.20896946564885
126808.5	34.69465648854962
128904.5	38.13358778625954
131000.5	36.86259541984733
133096.5	34.91889312977099
135192.5	27.813931297709924
137288.5	29.20753816793893
139384.5	31.03148854961832
141480.5	33.329198473282446
143576.5	29.688931297709924
145672.5	31.93702290076336
147768.5	34.04914122137404
149864.5	43.48568702290076
151960.5	29.53578244274809
154056.5	41.74570610687023
156152.5	83.24856870229007
158248.5	31.368797709923665
160344.5	31.153625954198475
162440.5	39.83492366412214
164536.5	31.264790076335878
166632.5	41.211832061068705
168728.5	121.4050572519084
170824.5	134.37547709923663
172920.5	106.39885496183206
175016.5	43.41412213740458
177112.5	30.3831106870229
179208.5	28.958492366412212
181304.5	33.034351145038165
183400.5	29.627385496183205
185496.5	38.69274809160305
187592.5	38.74522900763359
189688.5	29.75763358778626
191784.5	32.520992366412216
193880.5	39.2581106870229
195976.5	141.70181297709922
198072.5	98.73759541984732
200168.5	34.17270992366412
202264.5	30.466125954198475
204360.5	30.58206106870229
206456.5	27.17557251908397
208552.5	31.557729007633586
210648.5	34.56345419847328
212744.5	33.342557251908396
214840.5	35.983301526717554
216936.5	30.646469465648856
219032.5	29.982347328244273
221128.5	32.596374045801525
223224.5	30.858778625954198
225320.5	37.71421755725191
227416.5	33.14837786259542
229512.5	30.252385496183205
231608.5	29.060114503816795
233704.5	48.12547709923664
235800.5	45.3587786259542
237896.5	37.91889312977099
239992.5	88.57585877862596
242088.5	42.69799618320611
244184.5	31.911259541984734
246280.5	28.64503816793893
248376.5	31.342080152671755
250472.5	35.212786259541986
252568.5	29.510019083969464
254664.5	168.46517175572518
256760.5	110.87977099236642
258856.5	29.456106870229007
260952.5	34.56059160305343
263048.5	37.6875
265144.5	40.73568702290076
267240.5	36.162690839694655
269336.5	32.284351145038165
271432.5	32.49475190839695
273528.5	35.46469465648855
275624.5	29.081583969465647
277720.5	38.034828244274806
279816.5	36.94465648854962
281912.5	37.05916030534351
284008.5	73.39312977099236
286104.5	34.67700381679389
288200.5	36.781965648854964
290296.5	32.79770992366412
292392.5	69.4942748091603
294488.5	34.920324427480914
296584.5	30.977099236641223
298680.5	218.19036259541986
300776.5	158.45992366412213
302872.5	38.61545801526717
304968.5	28.419847328244273
307064.5	69.95276717557252
309160.5	29.829675572519083
311256.5	39.26145038167939
313352.5	35.218511450381676
315448.5	32.84828244274809
317544.5	60.56870229007634
319640.5	49.537690839694655
321736.5	53.215171755725194
323832.5	53.2986641221374
325928.5	51.39074427480916
328024.5	59.77290076335878
330120.5	52.11402671755725
332216.5	60.37118320610687
334312.5	52.31774809160305
336408.5	35.82013358778626
338504.5	26.69131679389313
340600.5	152.61832061068702
342696.5	39.03864503816794
344792.5	35.38692748091603
346888.5	148.71230916030535
348984.5	160.90314885496184
351080.5	120.81202290076335
353176.5	111.21803435114504
355272.5	100.69036259541984
357368.5	56.89503816793893
359464.5	26.27719465648855
361560.5	36.75477099236641
363656.5	36.26145038167939
365752.5	42.70181297709924
367848.5	42.716603053435115
369944.5	29.59685114503817
372040.5	38.82395038167939
374136.5	35.04293893129771
376232.5	36.23568702290076
377546.0	16.807909604519775
378594.0	26.770607028753993
380424.5	35.23139312977099
382520.5	30.71946564885496
384616.5	34.00333969465649
386712.5	28.737118320610687
388808.5	33.33110687022901
390904.5	29.228053435114504
393000.5	31.264312977099237
395096.5	31.67986641221374
397192.5	32.67843511450382
399288.5	29.71469465648855
401384.5	28.556297709923665
403480.5	32.22280534351145
405576.5	29.6631679389313
407672.5	30.688931297709924
409768.5	32.87261450381679
411864.5	31.306774809160306
413960.5	30.138358778625953
416056.5	28.770992366412212
418152.5	35.05963740458015
420248.5	31.739026717557252
422344.5	30.666507633587788
424440.5	31.731870229007633
426536.5	29.57395038167939
428632.5	50.82538167938932
430728.5	32.145992366412216
432824.5	57.8611641221374
434920.5	29.891221374045802
437016.5	77.0844465648855
439112.5	176.2304389312977
441208.5	31.908396946564885
443304.5	25.2581106870229
445400.5	29.099236641221374
447496.5	45.50715648854962
449592.5	624.3850190839695
451688.5	193.53721374045801
453784.5	60.55343511450382
455880.5	111.50954198473282
457976.5	28.47328244274809
460072.5	27.338740458015266
462168.5	35.47757633587786
464264.5	33.37404580152672
466360.5	34.50667938931298
468456.5	36.38501908396947
470552.5	41.24379770992366
472648.5	32.7442748091603
474744.5	37.91459923664122
476840.5	37.280057251908396
478936.5	53.592080152671755
481032.5	26.58635496183206
483128.5	90.21040076335878
485224.5	28.060591603053435
487320.5	28.603530534351144
489416.5	59.63835877862596
491512.5	108.6655534351145
493608.5	52.087786259541986
495704.5	61.588263358778626
497800.5	60.170801526717554
499896.5	53.9537213740458
501992.5	59.76335877862596
504088.5	60.80104961832061
506184.5	35.38120229007634
508280.5	37.68225190839695
510376.5	37.35496183206107
512472.5	38.80104961832061
514568.5	38.19847328244275
516664.5	103.99856870229007
518760.5	31.00763358778626
520856.5	59.69370229007634
522952.5	96.18463740458016
525048.5	35.213263358778626
527144.5	65.5706106870229
529240.5	207.98473282442748
531336.5	90.48902671755725
533432.5	107.95181297709924
535528.5	110.86211832061069
537624.5	94.08253816793894
539720.5	170.70801526717557
541816.5	90.72375954198473
543912.5	28.869751908396946
546008.5	32.55057251908397
548104.5	47.50763358778626
550200.5	35.50143129770992
552296.5	33.68368320610687
554392.5	39.70706106870229
556488.5	34.162690839694655
558584.5	37.37881679389313
560680.5	27.98854961832061
562776.5	30.67604961832061
564872.5	38.77719465648855
566968.5	46.45229007633588
569064.5	42.03530534351145
571160.5	47.86354961832061
573256.5	41.49618320610687
575352.5	47.08492366412214
577448.5	29.958969465648856
579544.5	35.099713740458014
581640.5	28.421755725190838
583736.5	37.62738549618321
585832.5	75.62452290076335
587928.5	122.71803435114504
590024.5	45.68034351145038
592120.5	83.62070610687023
594216.5	176.27767175572518
